classname , numberOfVersionsUntil, numberOfFixesUntil, numberOfRefactoringsUntil, numberOfAuthorsUntil, linesAddedUntil, maxLinesAddedUntil, avgLinesAddedUntil, linesRemovedUntil, maxLinesRemovedUntil, avgLinesRemovedUntil, codeChurnUntil:, maxCodeChurnUntil, avgCodeChurnUntil, ageWithRespectTo, weightedAgeWithRespectTo, bugs , nonTrivialBugs , majorBugs , criticalBugs , highPriorityBugs , 
org::eclipse::mylyn::internal::wikitext::ui::viewer::FontState ,3,1,0,2,40,40,13.3333,12,10,4,28,30,9.33333,32.7143,1.71429,0,0,0,0,0, 
org::eclipse::mylyn::internal::jira::core::wsdl::beans::RemoteFieldValue ,9,0,0,2,164,137,18.2222,178,151,19.7778,-14,7,-1.55556,110.714,25.1847,0,0,0,0,0, 
org::eclipse::mylyn::tasks::tests::connector::MockRepositoryConnector ,63,4,2,3,380,32,6.03175,335,89,5.31746,45,30,0.714286,139.143,57.3398,2,2,0,0,0, 
org::eclipse::mylyn::bugzilla::deprecated::BugzillaTaskListFactory ,3,0,0,3,4,4,1.33333,1,1,0.333333,3,3,1,39.5714,13,0,0,0,0,0, 
org::eclipse::mylyn::internal::trac::ui::search::RepositorySearchQuery ,5,0,0,2,7,5,1.4,13,11,2.6,-6,0,-1.2,135.429,2.65306,0,0,0,0,0, 
org::eclipse::mylyn::wikitext::core::util::FormattingXMLStreamWriter ,7,1,0,2,29,19,4.14286,25,16,3.57143,4,3,0.571429,32.7143,5.46305,0,0,0,0,0, 
org::eclipse::mylyn::internal::jira::ui::JiraIssueContentOutlinePage ,2,0,0,1,0,0,0,0,0,0,0,0,0,147.857,0,0,0,0,0,0, 
org::eclipse::mylyn::internal::wikitext::tracwiki::core::phrase::SimpleWrappedPhraseModifier ,7,0,0,2,27,17,3.85714,23,13,3.28571,4,4,0.571429,32.7143,5.7672,0,0,0,0,0, 
org::eclipse::mylyn::zest::core::viewers::internal::ZoomManager ,2,0,1,1,1,1,0.5,1,1,0.5,0,0,0,103.714,11.5714,0,0,0,0,0, 
org::eclipse::mylyn::internal::sandbox::bridge::bugs::BugzillaMylynSearchOperation ,26,0,0,3,197,44,7.57692,176,44,6.76923,21,8,0.807692,88,42.2306,0,0,0,0,0, 
org::eclipse::mylyn::internal::trac::wiki::editor::TracWikiPageEditor ,18,0,0,2,53,13,2.94444,82,51,4.55556,-29,5,-1.61111,81.8571,32.2776,0,0,0,0,0, 
org::eclipse::mylyn::internal::jira::core::model::filter::VersionFilter ,9,0,0,2,17,5,1.88889,11,4,1.22222,6,4,0.666667,110.714,40.4622,0,0,0,0,0, 
org::eclipse::mylyn::internal::trac::core::model::TracAttachment ,6,0,0,2,8,4,1.33333,5,1,0.833333,3,3,0.5,133,92.7143,0,0,0,0,0, 
org::eclipse::mylyn::internal::wikitext::ui::WikiTextUiPlugin ,8,2,0,1,87,45,10.875,58,38,7.25,29,20,3.625,24.7143,8.52052,1,0,0,0,0, 
org::eclipse::mylyn::wikitext::core::parser::markup::DefaultIdGenerationStrategy ,3,1,0,1,2,1,0.666667,1,1,0.333333,1,1,0.333333,9.85714,0.714286,0,0,0,0,0, 
org::eclipse::mylyn::internal::bugzilla::core::XmlCleaner ,16,0,1,2,59,13,3.6875,49,8,3.0625,10,7,0.625,148.571,77.1695,0,0,0,0,0, 
org::eclipse::mylyn::internal::provisional::tasks::ui::wizards::Messages ,1,0,0,1,0,0,0,0,0,0,0,0,0,14.1429,0,0,0,0,0,0, 
org::eclipse::mylyn::internal::tasks::ui::TaskWorkingSetFilter ,34,1,0,3,192,26,5.64706,131,16,3.85294,61,25,1.79412,95.7143,33.2753,0,0,0,0,0, 
org::eclipse::mylyn::internal::monitor::reports::MonitorReportsPlugin ,6,0,0,2,11,4,1.83333,10,4,1.66667,1,3,0.166667,92.5714,38.6753,0,0,0,0,0, 
org::eclipse::mylyn::internal::sandbox::dev::properties::AbstractTaskCategoryPropertySource ,5,0,0,2,30,23,6,41,38,8.2,-11,4,-2.2,70.7143,12.6762,0,0,0,0,0, 
org::eclipse::mylyn::context::ui::ContextUi ,9,0,0,2,62,18,6.88889,5,3,0.555556,57,18,6.33333,48.8571,10.2903,0,0,0,0,0, 
org::eclipse::mylyn::internal::trac::ui::editor::Messages ,1,0,0,1,0,0,0,0,0,0,0,0,0,14.8571,0,0,0,0,0,0, 
org::eclipse::mylyn::tasks::ui::wizards::AbstractTaskRepositoryPage ,9,1,0,2,84,60,9.33333,65,53,7.22222,19,7,2.11111,19,13.2959,1,0,0,0,0, 
org::eclipse::mylyn::internal::context::ui::preferences::Messages ,1,0,0,1,0,0,0,0,0,0,0,0,0,14.8571,0,0,0,0,0,0, 
org::eclipse::mylyn::internal::resources::ui::ResourceStructureBridge ,21,1,1,2,73,17,3.47619,63,12,3,10,9,0.47619,92.4286,29.9863,0,0,0,0,0, 
org::eclipse::mylyn::internal::xplanner::core::service::ServiceManager ,1,0,0,1,0,0,0,0,0,0,0,0,0,6.42857,0,1,0,0,0,0, 
org::eclipse::mylyn::internal::tasks::ui::workingsets::TaskWorkingSetAdapterFactory ,10,0,0,2,25,10,2.5,22,10,2.2,3,3,0.3,91.1429,31.4,0,0,0,0,0, 
org::eclipse::mylyn::internal::trac::core::TracAttachmentHandler ,35,0,0,3,214,33,6.11429,197,62,5.62857,17,8,0.485714,131.571,51.3071,0,0,0,0,0, 
org::eclipse::mylyn::wikitext::core::util::LocatorImpl ,5,1,0,2,15,7,3,9,6,1.8,6,5,1.2,32.7143,4.62857,0,0,0,0,0, 
org::eclipse::mylyn::internal::tasks::ui::AbstractTaskListFilter ,25,0,0,3,117,37,4.68,56,13,2.24,61,37,2.44,139.571,79.5519,0,0,0,0,0, 
org::eclipse::mylyn::tasks::ui::AbstractTaskRepositoryLinkProvider ,13,0,0,2,97,62,7.46154,85,62,6.53846,12,62,0.923077,107.857,17.6981,0,0,0,0,0, 
org::eclipse::mylyn::internal::wikitext::tracwiki::core::phrase::MonospacePhraseModifier ,1,0,0,1,0,0,0,0,0,0,0,0,0,5.14286,0,0,0,0,0,0, 
org::eclipse::mylyn::internal::wikitext::twiki::core::validation::Messages ,2,0,0,1,1,1,0.5,1,1,0.5,0,0,0,19.8571,2,0,0,0,0,0, 
org::eclipse::mylyn::internal::bugzilla::ui::editor::Messages ,3,1,0,2,2,2,0.666667,2,2,0.666667,0,2,0,13,3.42857,0,0,0,0,0, 
org::eclipse::mylyn::internal::bugzilla::ui::actions::AbstractFavoritesAction ,3,0,1,1,0,0,0,0,0,0,0,0,0,164,0,0,0,0,0,0, 
org::eclipse::mylyn::internal::pde::ui::FocusedApiToolsJavadocCompletionProposalComputer ,1,0,0,1,0,0,0,0,0,0,0,0,0,1.71429,0,0,0,0,0,0, 
org::eclipse::mylyn::internal::jira::core::service::JiraClient ,41,0,1,3,1127,353,27.4878,926,339,22.5854,201,339,4.90244,96.8571,28.1205,0,0,0,0,0, 
org::eclipse::mylyn::internal::jira::core::model::filter::ContentFilter ,7,0,0,2,16,6,2.28571,17,8,2.42857,-1,4,-0.142857,110.714,48.6875,0,0,0,0,0, 
org::eclipse::mylyn::internal::tasks::ui::actions::DeleteAction ,39,1,0,3,306,61,7.84615,211,38,5.41026,95,25,2.4359,139.571,83.7932,0,0,0,0,0, 
org::eclipse::mylyn::internal::jira::core::wsdl::soap::RemotePermissionException ,9,0,0,2,106,76,11.7778,107,77,11.8889,-1,7,-0.111111,110.714,27.686,0,0,0,0,0, 
org::eclipse::mylyn::tasks::ui::TasksUiImages ,11,2,0,2,86,59,7.81818,77,59,7,9,8,0.818182,43.7143,27.505,0,0,0,0,0, 
org::eclipse::mylyn::wikitext::core::parser::outline::OutlineItem ,16,3,0,2,213,68,13.3125,23,9,1.4375,190,67,11.875,32.7143,21.4547,1,0,0,0,0, 
org::eclipse::mylyn::internal::tasks::bugs::actions::NewTaskFromErrorAction ,19,0,0,2,136,28,7.15789,89,14,4.68421,47,22,2.47368,47.5714,14.2994,0,0,0,0,0, 
org::eclipse::mylyn::internal::wikitext::ui::editor::syntax::FastMarkupPartitioner ,10,0,0,2,189,72,18.9,119,75,11.9,70,37,7,32.7143,15.8262,2,0,1,0,0, 
org::eclipse::mylyn::commons::net::WebRequest ,2,0,0,1,11,11,5.5,0,0,0,11,11,5.5,45.8571,19.2857,0,0,0,0,0, 
org::eclipse::mylyn::internal::jira::ui::editor::TimeSpanAttributeEditor ,4,0,0,2,7,5,1.75,3,1,0.75,4,4,1,38,17.3469,0,0,0,0,0, 
org::eclipse::mylyn::internal::wikitext::ui::editor::validation::Messages ,2,0,0,1,1,1,0.5,1,1,0.5,0,0,0,19.8571,2,1,0,0,0,0, 
org::eclipse::mylyn::zest::layouts::algorithms::DirectedGraphLayoutAlgorithm ,3,0,0,1,29,29,9.66667,20,19,6.66667,9,10,3,82.5714,1.57143,0,0,0,0,0, 
org::eclipse::mylyn::wikitext::core::parser::builder::DocBookDocumentBuilder ,7,1,0,2,130,74,18.5714,121,74,17.2857,9,6,1.28571,32.7143,9.01648,1,0,0,0,0, 
org::eclipse::mylyn::wikitext::core::validation::Messages ,2,0,0,1,1,1,0.5,1,1,0.5,0,0,0,19.8571,2,0,0,0,0,0, 
org::eclipse::mylyn::internal::commons::ui::WorkbenchUtil ,2,0,0,1,4,4,2,1,1,0.5,3,3,1.5,37,10.4286,0,0,0,0,0, 
org::eclipse::mylyn::internal::tasks::ui::TasksUiFactory ,2,0,0,1,5,5,2.5,3,3,1.5,2,2,1,17.7143,11.7143,0,0,0,0,0, 
org::eclipse::mylyn::bugzilla::deprecated::DummySearchHitProvider ,3,0,0,3,4,4,1.33333,2,2,0.666667,2,2,0.666667,39.5714,13,0,0,0,0,0, 
org::eclipse::mylyn::internal::context::core::LegacyActivityAdaptor ,10,0,1,3,29,6,2.9,24,6,2.4,5,3,0.5,82.7143,36.3744,0,0,0,0,0, 
org::eclipse::mylyn::internal::sandbox::dev::views::RepositorySpyView ,10,0,0,3,50,26,5,34,19,3.4,16,10,1.6,70.7143,25.3086,1,1,0,0,0, 
org::eclipse::mylyn::wikitext::ui::commands::Messages ,2,0,0,1,1,1,0.5,1,1,0.5,0,0,0,19.8571,2,1,0,0,0,0, 
org::eclipse::mylyn::internal::sandbox::ui::highlighters::EditHighlightersAction ,3,0,0,2,5,4,1.66667,2,1,0.666667,3,3,1,43.5714,20.5143,0,0,0,0,0, 
org::eclipse::mylyn::internal::tasks::ui::views::TaskListCellModifier ,37,0,1,3,318,130,8.59459,301,130,8.13513,17,130,0.459459,98.7143,14.9367,0,0,0,0,0, 
org::eclipse::mylyn::zest::layouts::exampleStructures::SimpleRelationship ,5,0,2,2,60,28,12,9,8,1.8,51,28,10.2,184.857,51.9714,0,0,0,0,0, 
org::eclipse::mylyn::internal::jira::ui::JiraUiPlugin ,17,0,0,4,57,25,3.35294,64,31,3.76471,-7,4,-0.411765,110.714,54.9774,0,0,0,0,0, 
org::eclipse::mylyn::internal::tasks::ui::commands::OpenTaskListElementPropertiesHandler ,7,0,0,2,14,4,2,11,3,1.57143,3,3,0.428571,46,9.19388,0,0,0,0,0, 
org::eclipse::mylyn::team::ui::AbstractTaskReference ,3,0,0,1,6,5,2,2,1,0.666667,4,4,1.33333,47.5714,21.0238,0,0,0,0,0, 
org::eclipse::mylyn::internal::bugzilla::ui::BugzillaUiPlugin ,65,1,3,3,1224,325,18.8308,856,143,13.1692,368,322,5.66154,164,32.4581,0,0,0,0,0, 
org::eclipse::mylyn::internal::bugzilla::ui::wizard::AbstractBugzillaWizardPage ,24,0,0,2,271,52,11.2917,241,42,10.0417,30,10,1.25,157.143,7.70901,0,0,0,0,0, 
org::eclipse::mylyn::internal::web::tasks::WebRepositorySettingsPage ,15,0,0,4,108,33,7.2,103,47,6.86667,5,14,0.333333,92.4286,28.914,0,0,0,0,0, 
org::eclipse::mylyn::internal::wikitext::twiki::core::phrase::AutoLinkSwitchPhraseModifier ,5,1,0,1,13,10,2.6,3,1,0.6,10,10,2,23.8571,13.9451,0,0,0,0,0, 
org::eclipse::mylyn::monitor::internal::CardinalStatistic ,2,1,0,1,0,0,0,0,0,0,0,0,0,181.714,0,0,0,0,0,0, 
org::eclipse::mylyn::internal::pde::ui::PdeStructureBridge ,24,2,1,3,155,24,6.45833,122,20,5.08333,33,12,1.375,92.4286,42.7438,0,0,0,0,0, 
org::eclipse::mylyn::internal::tasks::ui::wizards::Messages ,10,1,0,2,20,6,2,78,50,7.8,-58,6,-5.8,14.7143,5.67143,1,0,0,0,0, 
org::eclipse::mylyn::internal::tasks::ui::actions::NewLocalTaskAction ,21,0,0,2,99,15,4.71429,72,12,3.42857,27,14,1.28571,139.571,22.4026,0,0,0,0,0, 
org::eclipse::mylyn::internal::wikitext::ui::editor::Messages ,3,0,0,2,6,5,2,7,6,2.33333,-1,0,-0.333333,32.7143,3.90476,1,0,0,0,0, 
org::eclipse::mylyn::internal::trac::ui::editor::TracCcAttributeEditor ,4,0,0,2,6,4,1.5,3,1,0.75,3,3,0.75,39.5714,15.9524,0,0,0,0,0, 
org::eclipse::mylyn::internal::tasks::ui::TaskLabelDecorator ,33,0,1,3,212,96,6.42424,244,96,7.39394,-32,96,-0.969697,98,16.6435,1,1,0,0,0, 
org::eclipse::mylyn::tasks::core::data::AbstractTaskAttachmentHandler ,6,0,0,2,18,5,3,15,5,2.5,3,3,0.5,45.8571,7.85714,0,0,0,0,0, 
org::eclipse::mylyn::internal::bugzilla::core::SaxBugzillaQueryContentHandler ,37,0,3,3,255,59,6.89189,297,62,8.02703,-42,12,-1.13514,132.714,58.0717,0,0,0,0,0, 
org::eclipse::mylyn::internal::jira::core::wsdl::beans::RemotePermission ,9,0,0,2,158,131,17.5556,170,143,18.8889,-12,7,-1.33333,110.714,25.3599,0,0,0,0,0, 
org::eclipse::mylyn::wikitext::core::parser::markup::token::EntityWrappingReplacementToken ,8,1,0,2,19,8,2.375,13,5,1.625,6,3,0.75,32.7143,8.64662,0,0,0,0,0, 
org::eclipse::mylyn::internal::commons::net::PollingInputStream ,2,0,0,1,0,0,0,0,0,0,0,0,0,45.8571,0,0,0,0,0,0, 
org::eclipse::mylyn::internal::web::tasks::WebImages ,3,1,0,2,6,5,2,5,4,1.66667,1,1,0.333333,42.4286,18.7857,0,0,0,0,0, 
org::eclipse::mylyn::internal::tasks::ui::views::TaskListView ,318,5,4,3,4748,271,14.9308,4252,339,13.3711,496,174,1.55975,139.571,50.3415,4,2,1,0,1, 
org::eclipse::mylyn::internal::wikitext::core::validation::StandaloneMarkupValidator ,6,1,0,1,101,85,16.8333,31,13,5.16667,70,77,11.6667,23.5714,0.861386,0,0,0,0,0, 
org::eclipse::mylyn::internal::tasks::core::RepositoryExternalizationParticipant ,12,0,0,3,58,44,4.83333,84,55,7,-26,3,-2.16667,44.1429,3.70197,0,0,0,0,0, 
org::eclipse::mylyn::internal::monitor::reports::collectors::FocusedUiUsageDetector ,5,0,0,2,9,5,1.8,8,4,1.6,1,4,0.2,92.5714,47.254,0,0,0,0,0, 
org::eclipse::mylyn::internal::wikitext::ui::editor::preferences::EditorPreferencePage ,10,1,1,2,87,27,8.7,43,24,4.3,44,27,4.4,32.7143,20.5567,2,1,0,0,0, 
org::eclipse::mylyn::internal::wikitext::ui::validation::Messages ,1,0,0,1,0,0,0,0,0,0,0,0,0,14,0,1,0,0,0,0, 
org::eclipse::mylyn::internal::tasks::ui::deprecated::RepositoryTaskEditorInput ,8,0,0,2,11,5,1.375,13,7,1.625,-2,4,-0.25,45.2857,9.23377,0,0,0,0,0, 
org::eclipse::mylyn::internal::bugzilla::ui::actions::ViewOfflineReportAction ,4,0,1,1,3,2,0.75,3,2,0.75,0,0,0,164,0.0952381,0,0,0,0,0, 
org::eclipse::mylyn::internal::wikitext::twiki::core::token::IconReplacementToken ,3,0,0,1,2,1,0.666667,2,1,0.666667,0,0,0,23.8571,6.57143,0,0,0,0,0, 
org::eclipse::mylyn::internal::tasks::core::sync::SubmitTaskAttachmentJob ,9,0,0,3,24,5,2.66667,18,5,2,6,3,0.666667,45.5714,17.8274,1,0,0,0,0, 
org::eclipse::mylyn::internal::jira::core::model::filter::UserFilter ,8,0,0,2,13,5,1.625,9,4,1.125,4,4,0.5,110.714,55.5495,0,0,0,0,0, 
org::eclipse::mylyn::internal::wikitext::tracwiki::core::token::ChangesetLinkReplacementToken ,1,0,0,1,0,0,0,0,0,0,0,0,0,7.14286,0,0,0,0,0,0, 
org::eclipse::mylyn::internal::tasks::ui::editors::CategoryEditorInput ,21,0,0,3,51,10,2.42857,40,8,1.90476,11,10,0.52381,139.571,57.521,0,0,0,0,0, 
org::eclipse::mylyn::internal::bugzilla::ui::BugzillaImages ,20,0,1,3,67,18,3.35,90,41,4.5,-23,4,-1.15,164,83.8273,0,0,0,0,0, 
org::eclipse::mylyn::zest::tests::swt::GraphSnippet7 ,1,0,0,1,0,0,0,0,0,0,0,0,0,80.8571,0,0,0,0,0,0, 
org::eclipse::mylyn::internal::commons::net::Messages ,4,1,0,2,2,1,0.5,5,4,1.25,-3,1,-0.75,45.8571,23.5714,0,0,0,0,0, 
org::eclipse::mylyn::internal::bugzilla::core::history::TaskRevision ,10,0,0,2,147,118,14.7,142,118,14.2,5,118,0.5,109,11.5462,0,0,0,0,0, 
org::eclipse::mylyn::internal::tasks::ui::ScheduledPresentation ,5,0,0,2,7,4,1.4,5,2,1,2,3,0.4,81,54.6531,0,0,0,0,0, 
org::eclipse::mylyn::internal::wikitext::ui::util::css::IdSelector ,1,0,1,1,0,0,0,0,0,0,0,0,0,7.42857,0,0,0,0,0,0, 
org::eclipse::mylyn::internal::sandbox::bridge::bugs::BugzillaMylynSearch ,4,0,0,2,8,5,2,7,4,1.75,1,1,0.25,88,50.9821,0,0,0,0,0, 
org::eclipse::mylyn::internal::provisional::tasks::bugs::AbstractTaskContributor ,7,0,0,2,41,31,5.85714,35,31,5,6,31,0.857143,40.7143,4.34843,0,0,0,0,0, 
org::eclipse::mylyn::internal::wikitext::confluence::core::token::AnchorReplacementToken ,3,0,0,2,3,2,1,3,2,1,0,0,0,32.7143,5.42857,0,0,0,0,0, 
org::eclipse::mylyn::internal::trac::core::util::TracHttpClientTransportFactory ,26,0,1,3,379,190,14.5769,325,87,12.5,54,103,2.07692,133,61.533,0,0,0,0,0, 
org::eclipse::mylyn::zest::layouts::constraints::BasicEntityConstraint ,2,0,1,1,2,2,1,2,2,1,0,0,0,135.857,43.7143,0,0,0,0,0, 
org::eclipse::mylyn::internal::wikitext::tasks::ui::preferences::MarkupViewerPreferencePage ,5,0,0,1,132,81,26.4,14,10,2.8,118,71,23.6,6.42857,0.467532,1,0,0,0,0, 
org::eclipse::mylyn::internal::wikitext::ui::validation::ValidationProjectBuilder ,4,1,0,1,34,30,8.5,5,3,1.25,29,29,7.25,14,0.546218,1,0,0,0,0, 
org::eclipse::mylyn::internal::xplanner::ui::wizard::AbstractXPlannerQueryWizardPage ,1,0,0,1,0,0,0,0,0,0,0,0,0,6.42857,0,0,0,0,0,0, 
org::eclipse::mylyn::internal::jira::core::service::JiraInsufficientPermissionException ,10,0,0,3,39,26,3.9,38,26,3.8,1,26,0.1,97.8571,15.1465,0,0,0,0,0, 
org::eclipse::mylyn::monitor::tests::MockSelectionMonitor ,9,0,1,3,64,27,7.11111,10,4,1.11111,54,27,6,145.143,12.7299,0,0,0,0,0, 
org::eclipse::mylyn::zest::tests::swt::HelloWorld ,1,0,0,1,0,0,0,0,0,0,0,0,0,80.8571,0,0,0,0,0,0, 
org::eclipse::mylyn::internal::wikitext::confluence::core::block::CodeBlock ,5,0,0,2,47,26,9.4,73,59,14.6,-26,11,-5.2,32.7143,10.4681,0,0,0,0,0, 
org::eclipse::mylyn::wikitext::ui::annotation::IdAnnotation ,5,1,0,2,4,1,0.8,3,1,0.6,1,1,0.2,32.7143,15.4286,0,0,0,0,0, 
org::eclipse::mylyn::internal::tasks::core::Messages ,2,0,0,1,11,11,5.5,9,9,4.5,2,2,1,14.7143,0.142857,0,0,0,0,0, 
org::eclipse::mylyn::internal::context::ui::commands::RetrieveContextAttachmentHandler ,5,0,0,2,9,4,1.8,6,3,1.2,3,3,0.6,43.8571,9.33333,0,0,0,0,0, 
org::eclipse::mylyn::internal::bugzilla::core::BugzillaCustomField ,6,0,0,3,52,43,8.66667,8,2,1.33333,44,41,7.33333,49,28.5055,0,0,0,0,0, 
org::eclipse::mylyn::internal::team::ui::ContextChangeSet ,26,2,0,3,153,30,5.88462,96,19,3.69231,57,25,2.19231,92.4286,33.1597,1,0,0,0,0, 
org::eclipse::mylyn::internal::resources::ui::ResourcesUiBridgePlugin ,10,0,0,2,18,5,1.8,26,11,2.6,-8,4,-0.8,48.5714,16.2143,0,0,0,0,0, 
org::eclipse::mylyn::internal::sandbox::dev::actions::ShowPropertiesAction ,3,0,0,2,5,4,1.66667,2,1,0.666667,3,3,1,29.8571,6.8,1,1,0,0,0, 
org::eclipse::mylyn::internal::sandbox::bridge::bugs::BugzillaStructureBridge ,26,0,0,3,75,16,2.88462,200,99,7.69231,-125,10,-4.80769,140.857,37.6933,0,0,0,0,0, 
org::eclipse::mylyn::internal::jira::core::service::JiraException ,6,0,0,2,16,5,2.66667,3,1,0.5,13,5,2.16667,105,26.3571,0,0,0,0,0, 
org::eclipse::mylyn::internal::jira::core::service::JiraRemoteMessageException ,12,0,0,2,114,67,9.5,80,67,6.66667,34,67,2.83333,97.8571,6.27694,0,0,0,0,0, 
org::eclipse::mylyn::internal::java::ui::search::JavaReferencesProvider ,5,0,0,2,10,4,2,9,4,1.8,1,3,0.2,92.4286,57.4571,0,0,0,0,0, 
org::eclipse::mylyn::internal::monitor::usage::wizards::UsageUploadWizardPage ,16,0,1,2,250,60,15.625,254,49,15.875,-4,17,-0.25,109.857,11.328,0,0,0,0,0, 
org::eclipse::mylyn::internal::wikitext::ui::editor::operations::Messages ,1,0,0,1,0,0,0,0,0,0,0,0,0,7.71429,0,1,0,0,0,0, 
org::eclipse::mylyn::internal::xplanner::core::service::exceptions::InsufficientPermissionException ,1,0,0,1,0,0,0,0,0,0,0,0,0,6.42857,0,0,0,0,0,0, 
org::eclipse::mylyn::internal::tasks::core::AbstractTaskCategory ,5,0,0,2,5,4,1,15,11,3,-10,3,-2,45.1429,22.0857,0,0,0,0,0, 
org::eclipse::mylyn::internal::tasks::ui::commands::MarkTaskHandler ,12,0,0,3,39,16,3.25,23,4,1.91667,16,13,1.33333,44,7.8315,0,0,0,0,0, 
org::eclipse::mylyn::wikitext::ui::viewer::MarkupViewer ,8,1,0,2,16,7,2,13,8,1.625,3,3,0.375,32.7143,12.3214,1,0,0,0,0, 
org::eclipse::mylyn::internal::tasks::ui::editors::TaskEditorExtensionSettingsContribution ,5,0,0,2,22,11,4.4,10,5,2,12,9,2.4,18.8571,9.82468,1,1,0,0,0, 
org::eclipse::mylyn::internal::xplanner::core::service::CachedXPlannerClient ,1,0,0,1,0,0,0,0,0,0,0,0,0,6.42857,0,0,0,0,0,0, 
org::eclipse::mylyn::internal::tasks::bugs::actions::ReportBugAction ,9,0,0,2,22,4,2.44444,22,8,2.44444,0,3,0,47.5714,15.2987,1,1,0,0,0, 
org::eclipse::mylyn::tasks::core::data::TaskDataModelEvent ,6,0,0,2,12,4,2,3,1,0.5,9,4,1.5,46.1429,10.8929,0,0,0,0,0, 
org::eclipse::mylyn::internal::bugzilla::core::BugzillaClientFactory ,18,0,0,3,65,16,3.61111,77,33,4.27778,-12,9,-0.666667,123.857,48.2066,0,0,0,0,0, 
org::eclipse::mylyn::internal::tasks::ui::actions::ExportAction ,1,0,0,1,0,0,0,0,0,0,0,0,0,6.71429,0,0,0,0,0,0, 
org::eclipse::mylyn::zest::core::viewers::ZoomContributionViewItem ,5,1,1,1,120,80,24,122,114,24.4,-2,24,-0.4,131.571,22.2167,0,0,0,0,0, 
org::eclipse::mylyn::internal::wikitext::ui::WikiTextNature ,1,0,0,1,0,0,0,0,0,0,0,0,0,14,0,1,0,0,0,0, 
org::eclipse::mylyn::internal::jira::core::model::filter::SpecificUserFilter ,7,0,0,1,10,5,1.42857,8,4,1.14286,2,4,0.285714,110.714,58.7,0,0,0,0,0, 
org::eclipse::mylyn::zest::layouts::constraints::EntityPriorityConstraint ,2,0,0,1,2,2,1,2,2,1,0,0,0,135.714,43.5714,0,0,0,0,0, 
org::eclipse::mylyn::internal::pde::ui::junit::Messages ,3,0,0,1,31,31,10.3333,31,31,10.3333,0,31,0,19.1429,5.14286,0,0,0,0,0, 
org::eclipse::mylyn::internal::jira::core::JiraIssueCollector ,3,0,0,2,5,4,1.66667,1,1,0.333333,4,3,1.33333,48.7143,23.6857,0,0,0,0,0, 
org::eclipse::mylyn::wikitext::ui::commands::ConvertMarkupToHtml ,6,1,0,2,26,12,4.33333,22,11,3.66667,4,2,0.666667,32.7143,9.14286,1,0,0,0,0, 
org::eclipse::mylyn::internal::sandbox::ui::planner::CompletedTaskCollector ,5,0,0,2,15,5,3,12,5,2.4,3,3,0.6,46,9.3619,0,0,0,0,0, 
org::eclipse::mylyn::internal::tasks::ui::ActivityExternalizationParticipant ,17,0,0,3,105,55,6.17647,59,20,3.47059,46,47,2.70588,45.1429,4.76599,0,0,0,0,0, 
org::eclipse::mylyn::internal::xplanner::core::service::soap::SoapXPlannerServiceFactory ,1,0,0,1,0,0,0,0,0,0,0,0,0,6.42857,0,0,0,0,0,0, 
org::eclipse::mylyn::context::ui::InterestSorter ,13,0,0,2,37,7,2.84615,34,7,2.61538,3,3,0.230769,139.714,56.0386,0,0,0,0,0, 
org::eclipse::mylyn::internal::sandbox::bridge::bugs::BugzillaReferencesProvider ,26,0,0,2,96,15,3.69231,54,11,2.07692,42,15,1.61538,140.857,59.3571,0,0,0,0,0, 
org::eclipse::mylyn::internal::sandbox::ui::planner::TaskActivityWizardPage ,12,0,0,2,32,9,2.66667,33,6,2.75,-1,3,-0.0833333,46,7.83929,0,0,0,0,0, 
org::eclipse::mylyn::internal::wikitext::textile::core::phrase::SimpleTextilePhraseModifier ,7,0,0,2,53,33,7.57143,26,15,3.71429,27,28,3.85714,32.7143,9.10243,1,0,0,0,0, 
org::eclipse::mylyn::internal::java::tasks::Messages ,1,0,0,1,0,0,0,0,0,0,0,0,0,19.1429,0,0,0,0,0,0, 
org::eclipse::mylyn::internal::wikitext::ui::util::css::editor::CommentRule ,1,0,0,1,0,0,0,0,0,0,0,0,0,6.42857,0,0,0,0,0,0, 
org::eclipse::mylyn::wikitext::core::util::anttask::MarkupToEclipseHelpTask ,10,2,0,2,50,24,5,49,25,4.9,1,4,0.1,32.7143,9.12571,0,0,0,0,0, 
org::eclipse::mylyn::internal::tasks::ui::editors::TaskAttachmentDropListener ,4,0,0,2,15,12,3.75,3,2,0.75,12,12,3,41,17.2,0,0,0,0,0, 
org::eclipse::mylyn::internal::tasks::ui::actions::LinkWithEditorAction ,8,0,0,2,16,4,2,13,4,1.625,3,3,0.375,93,47.9107,0,0,0,0,0, 
org::eclipse::mylyn::internal::provisional::commons::ui::CommonColors ,2,0,0,1,4,4,2,1,1,0.5,3,3,1.5,45.8571,19.2857,0,0,0,0,0, 
org::eclipse::mylyn::internal::wikitext::tracwiki::core::token::TicketAttachmentLinkReplacementToken ,1,0,0,1,0,0,0,0,0,0,0,0,0,7.14286,0,0,0,0,0,0, 
org::eclipse::mylyn::internal::context::core::DegreeOfInterest ,24,0,2,2,116,26,4.83333,89,11,3.70833,27,15,1.125,139.714,92.0924,2,2,0,0,0, 
org::eclipse::mylyn::internal::bugzilla::core::history::AttachmentEvent ,10,0,0,3,233,183,23.3,256,183,25.6,-23,183,-2.3,109,14.3899,0,0,0,0,0, 
